luke_window_start_ref,luke_window_center_ref,luke_window_end_ref,rank,matt_window_start_ref,matt_window_center_ref,matt_window_end_ref,score
Luke 1:24,Luke 1:25,Luke 1:26,3,Matt 11:10,Matt 11:11,Matt 11:12,0.060825
Luke 1:24,Luke 1:25,Luke 1:26,4,Matt 7:20,Matt 7:21,Matt 7:22,0.059892
Luke 1:24,Luke 1:25,Luke 1:26,5,Matt 1:24,Matt 1:25,Matt 2:1,0.05987
Luke 1:24,Luke 1:25,Luke 1:26,6,Matt 1:22,Matt 1:23,Matt 1:24,0.059771
Luke 1:24,Luke 1:25,Luke 1:26,7,Matt 7:21,Matt 7:22,Matt 7:23,0.056515
Luke 1:24,Luke 1:25,Luke 1:26,8,Matt 24:46,Matt 24:47,Matt 24:48,0.05624
Luke 1:24,Luke 1:25,Luke 1:26,9,Matt 1:23,Matt 1:24,Matt 1:25,0.055753
Luke 1:24,Luke 1:25,Luke 1:26,10,Matt 11:9,Matt 11:10,Matt 11:11,0.054373
Luke 1:25,Luke 1:26,Luke 1:27,1,Matt 1:23,Matt 1:24,Matt 1:25,0.114592
Luke 1:25,Luke 1:26,Luke 1:27,2,Matt 1:22,Matt 1:23,Matt 1:24,0.105365
Luke 1:25,Luke 1:26,Luke 1:27,3,Matt 1:21,Matt 1:22,Matt 1:23,0.094219
Luke 1:25,Luke 1:26,Luke 1:27,4,Matt 7:20,Matt 7:21,Matt 7:22,0.084571
Luke 1:25,Luke 1:26,Luke 1:27,5,Matt 21:9,Matt 21:10,Matt 21:11,0.079963
Luke 1:25,Luke 1:26,Luke 1:27,6,Matt 7:21,Matt 7:22,Matt 7:23,0.079483
Luke 1:25,Luke 1:26,Luke 1:27,7,Matt 7:22,Matt 7:23,Matt 7:24,0.077162
