source_ref,target_ref,rank,score
Matt 1:7,Mark 14:21,9,0.07558295130729675
Matt 1:7,Mark 15:14,10,0.07305976748466492
Matt 1:7,Mark 15:5,11,0.0706445723772049
Matt 1:7,Mark 6:15,12,0.07062593102455139
Matt 1:7,Mark 15:15,13,0.07052920013666153
Matt 1:7,Mark 12:44,14,0.06991419941186905
Matt 1:7,Mark 10:39,15,0.06968963146209717
Matt 1:7,Mark 10:24,16,0.06897145509719849
Matt 1:7,Mark 14:62,17,0.06894787400960922
Matt 1:7,Mark 5:36,18,0.06744945049285889
Matt 1:7,Mark 16:6,19,0.06615979224443436
Matt 1:7,Mark 15:2,20,0.06601905822753906
Matt 1:8,Mark 8:28,1,0.08783740550279617
Matt 1:8,Mark 15:11,2,0.08589715510606766
Matt 1:8,Mark 12:16,3,0.0776161476969719
Matt 1:8,Mark 10:50,4,0.07659031450748444
Matt 1:8,Mark 7:20,5,0.07504412531852722
Matt 1:8,Mark 15:14,6,0.07238435745239258
Matt 1:8,Mark 15:9,7,0.07205279916524887
Matt 1:8,Mark 14:21,8,0.07118337601423264
Matt 1:8,Mark 15:5,9,0.07016322016716003
Matt 1:8,Mark 15:15,10,0.0685940608382225
Matt 1:8,Mark 15:12,11,0.06808091700077057
Matt 1:8,Mark 10:39,12,0.06781420111656189
Matt 1:8,Mark 5:36,13,0.0669272392988205
Matt 1:8,Mark 6:15,14,0.06594241410493851
Matt 1:8,Mark 4:34,15,0.06511794030666351
Matt 1:8,Mark 14:52,16,0.06477053463459015
Matt 1:8,Mark 16:6,17,0.06467315554618835
Matt 1:8,Mark 10:24,18,0.06425661593675613
Matt 1:8,Mark 15:13,19,0.0638827532529831
Matt 1:8,Mark 9:23,20,0.06246117502450943
Matt 1:9,Mark 8:28,1,0.08779749274253845
Matt 1:9,Mark 15:11,2,0.08586390316486359
Matt 1:9,Mark 12:16,3,0.07757509499788284
Matt 1:9,Mark 10:50,4,0.07655296474695206
Matt 1:9,Mark 7:20,5,0.07500632852315903
Matt 1:9,Mark 15:14,6,0.07234962284564972
Matt 1:9,Mark 15:9,7,0.0720175951719284
Matt 1:9,Mark 14:21,8,0.0711493045091629
Matt 1:9,Mark 15:5,9,0.07013406604528427
Matt 1:9,Mark 15:15,10,0.06855932623147964
Matt 1:9,Mark 15:12,11,0.0680476650595665
Matt 1:9,Mark 10:39,12,0.06778392195701599
Matt 1:9,Mark 5:36,13,0.06689845025539398
Matt 1:9,Mark 6:15,14,0.06591236591339111
Matt 1:9,Mark 4:34,15,0.06509141623973846
Matt 1:9,Mark 14:52,16,0.0647360160946846
Matt 1:9,Mark 16:6,17,0.06465359777212143
Matt 1:9,Mark 10:24,18,0.06422997266054153
Matt 1:9,Mark 15:13,19,0.0638827532529831
Matt 1:9,Mark 9:23,20,0.062421947717666626
Matt 1:10,Mark 8:28,1,0.0922493115067482
Matt 1:10,Mark 15:11,2,0.08854108303785324
Matt 1:10,Mark 12:16,3,0.08752128481864929
Matt 1:10,Mark 10:50,4,0.08541204035282135
Matt 1:10,Mark 5:36,5,0.07837866991758347
Matt 1:10,Mark 15:9,6,0.07758281379938126
Matt 1:10,Mark 7:20,7,0.07737305760383606
Matt 1:10,Mark 15:14,8,0.07721519470214844
Matt 1:10,Mark 14:21,9,0.07665323466062546
Matt 1:10,Mark 15:15,10,0.07479336112737656
Matt 1:10,Mark 14:46,11,0.0744343250989914
Matt 1:10,Mark 9:27,12,0.07392235845327377
Matt 1:10,Mark 6:49,13,0.07347323000431061
Matt 1:10,Mark 10:24,14,0.07275618612766266
Matt 1:10,Mark 15:5,15,0.07212619483470917
Matt 1:10,Mark 4:15,16,0.07167775928974152
Matt 1:10,Mark 9:32,17,0.07138171046972275
Matt 1:10,Mark 10:39,18,0.07120822370052338
Matt 1:10,Mark 11:6,19,0.0705324038863182
Matt 1:10,Mark 14:47,20,0.07011698931455612
Matt 1:11,Mark 6:49,1,0.161786288022995
Matt 1:11,Mark 6:47,2,0.14155888557434082
Matt 1:11,Mark 4:26,3,0.1306876242160797
