matt_start_ref,matt_end_ref,mark_start_ref,mark_end_ref,rank,window_score,matt_refs,mark_refs
Matt 3:1,Matt 3:3,Mark 1:1,Mark 1:3,1,0.359812,Matt 3:1 | Matt 3:2 | Matt 3:3,Mark 1:1 | Mark 1:2 | Mark 1:3
Matt 3:4,Matt 3:6,Mark 1:5,Mark 1:7,2,0.367521,Matt 3:4 | Matt 3:5 | Matt 3:6,Mark 1:5 | Mark 1:6 | Mark 1:7
Matt 3:4,Matt 3:6,Mark 1:6,Mark 1:8,3,0.271272,Matt 3:4 | Matt 3:5 | Matt 3:6,Mark 1:6 | Mark 1:7 | Mark 1:8
Matt 3:4,Matt 3:6,Mark 1:3,Mark 1:5,4,0.220221,Matt 3:4 | Matt 3:5 | Matt 3:6,Mark 1:3 | Mark 1:4 | Mark 1:5
Matt 3:5,Matt 3:7,Mark 1:3,Mark 1:5,1,0.22014,Matt 3:5 | Matt 3:6 | Matt 3:7,Mark 1:3 | Mark 1:4 | Mark 1:5
Matt 3:5,Matt 3:7,Mark 1:4,Mark 1:6,2,0.201034,Matt 3:5 | Matt 3:6 | Matt 3:7,Mark 1:4 | Mark 1:5 | Mark 1:6
Matt 3:5,Matt 3:7,Mark 1:5,Mark 1:7,3,0.196451,Matt 3:5 | Matt 3:6 | Matt 3:7,Mark 1:5 | Mark 1:6 | Mark 1:7
Matt 3:6,Matt 3:8,Mark 1:3,Mark 1:5,1,0.176802,Matt 3:6 | Matt 3:7 | Matt 3:8,Mark 1:3 | Mark 1:4 | Mark 1:5
Matt 3:9,Matt 3:11,Mark 1:7,Mark 1:9,1,0.201813,Matt 3:9 | Matt 3:10 | Matt 3:11,Mark 1:7 | Mark 1:8 | Mark 1:9
Matt 3:9,Matt 3:11,Mark 1:6,Mark 1:8,2,0.182579,Matt 3:9 | Matt 3:10 | Matt 3:11,Mark 1:6 | Mark 1:7 | Mark 1:8
Matt 3:10,Matt 3:12,Mark 1:7,Mark 1:9,1,0.184885,Matt 3:10 | Matt 3:11 | Matt 3:12,Mark 1:7 | Mark 1:8 | Mark 1:9
Matt 3:10,Matt 3:12,Mark 1:6,Mark 1:8,2,0.16856,Matt 3:10 | Matt 3:11 | Matt 3:12,Mark 1:6 | Mark 1:7 | Mark 1:8
Matt 3:11,Matt 3:13,Mark 1:7,Mark 1:9,1,0.300861,Matt 3:11 | Matt 3:12 | Matt 3:13,Mark 1:7 | Mark 1:8 | Mark 1:9
Matt 3:11,Matt 3:13,Mark 1:6,Mark 1:8,2,0.198745,Matt 3:11 | Matt 3:12 | Matt 3:13,Mark 1:6 | Mark 1:7 | Mark 1:8
Matt 3:11,Matt 3:13,Mark 1:8,Mark 1:10,3,0.193905,Matt 3:11 | Matt 3:12 | Matt 3:13,Mark 1:8 | Mark 1:9 | Mark 1:10
Matt 3:14,Matt 3:16,Mark 1:8,Mark 1:10,1,0.240104,Matt 3:14 | Matt 3:15 | Matt 3:16,Mark 1:8 | Mark 1:9 | Mark 1:10
Matt 3:14,Matt 3:16,Mark 1:9,Mark 1:11,2,0.229234,Matt 3:14 | Matt 3:15 | Matt 3:16,Mark 1:9 | Mark 1:10 | Mark 1:11
Matt 3:14,Matt 3:16,Mark 1:10,Mark 1:12,3,0.178044,Matt 3:14 | Matt 3:15 | Matt 3:16,Mark 1:10 | Mark 1:11 | Mark 1:12
Matt 3:15,Matt 3:17,Mark 1:9,Mark 1:11,1,0.325507,Matt 3:15 | Matt 3:16 | Matt 3:17,Mark 1:9 | Mark 1:10 | Mark 1:11
Matt 3:15,Matt 3:17,Mark 1:10,Mark 1:12,2,0.306726,Matt 3:15 | Matt 3:16 | Matt 3:17,Mark 1:10 | Mark 1:11 | Mark 1:12
